feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,target
1340.0,3519.957380952381,0.3806864274127778,19,1034.88,0.0,1728.97,0.0,0,357.60593406593404,692.6,638,45.0,3,0,,0,,0,0,,0,8527,0,0,0,0,0,0,0,0,0,0,0,683.4314285714287,0,0,0,316.67878453038674,274.77476712328763,442.6034375,61.91387665198236,36.28666666666792,889.9700000000003,-1486.1799999999976,1321.7320325365995,-4.208845207227231,518.8354657495481,1.4383941038085115,1
848.9319999999999,2048.459523809524,0.4144245908365519,1,-20.0,0.0,2100.0,11024.85,19,578.6424175824176,0.0,753,85.0,2,1,0.9826124567474048,0,,0,0,,0,12145,0,0,0,0,0,0,0,0,1,1,0,500.6016666666667,0,0,0,317.9033149171271,238.55847517730496,1848.9211111111113,105.8024074074074,-166.566666666666,1051.0700000000015,-1048.7499999999995,1089.3611486707862,-22.57499353829691,1063.648329620454,1.8174576847783517,1
3221.932,0.0,,3,1940.0,3.0,23.5,3500.0,54,0.0,0.0,632,36.0,3,3,0.8246566477313583,1,1.07,0,0,,684,3152,0,0,0,0,0,0,0,0,0,2,0,0.0,0,0,0,0.0,0.0,329.181746031746,91.03087719298244,-5.530000000000655,95.56999999999788,-166.20000000000073,140.68518720888832,-2.662857225171833,349.63641256100146,-7.223610908318575,0
2588.1494444444443,6061.437777777777,0.4269860616128113,7,2260.0,5.0,76.0,0.0,15,276.3664835164835,0.0,629,575.0,1,1,1.0959698463322702,0,,0,0,,4450,10094,0,0,1,0,0,10,0,0,0,3,26460,302.7,0,0,0,263.4110497237569,287.5689589041096,700.76,98.42150943396224,-77.43333333333203,145.40000000000327,-238.73,199.32143696385,0.771516071943037,598.2361890025312,2.06046374698784,1
2553.985357142857,4667.861428571428,0.5471424968852362,23,4160.0,0.0,140.0,6000.0,0,508.5740659340659,0.0,610,97.0,5,1,0.3390989541432019,1,1.0267142857142857,0,1,926.0,0,5889,0,0,0,0,0,0,0,0,0,5,5021,699.4244444444444,7,0,0,862.4343093922652,872.7824657534246,630.4215686274509,86.57404388714735,1511.4599999999975,6453.149999999996,-2111.5300000000007,4432.004415961246,6.553921554101331,583.2872307144712,1.1529790449658364,1
2282.328958333333,3376.955833333333,0.6758539557446586,8,-626.03,0.0,270.0,0.0,4,217.842967032967,0.0,613,29.0,8,1,0.3346758894434229,4,0.3415625,0,1,81.0,9325,9060,0,0,0,1,1,24,1,0,0,4,0,396.6033333333333,1,1,0,338.49453038674034,305.34057534246574,511.5744,94.26956204379562,-41.85666666666748,476.7799999999989,-601.9800000000009,540.5752880342693,0.3954583693460101,408.70244222135847,1.8723922068838883,0
2861.143,4289.28,0.667045051850194,20,2180.1,0.0,450.0,0.0,6,458.2353846153846,0.0,630,28.0,5,1,1.0,1,0.8433333333333334,0,2,1138.0,6824,5598,0,0,0,1,1,1,0,0,1,3,0,305.7575,0,0,0,656.5884530386741,487.25172413793103,627.1270909090908,106.10522796352586,-138.87666666666885,301.13999999999214,-716.1099999999988,522.3224108090033,-4.8429957607935314,698.5528592842364,1.711231550788995,0
3483.2209999999995,7415.101190476191,0.4697469273209352,48,2245.22,0.0,203.5,5530.22,2,815.5231868131868,-15.590000000000003,642,57.0,7,3,0.973825372442884,2,0.2792857142857143,0,0,,0,7611,0,0,0,0,0,0,0,0,2,3,0,720.725,0,0,0,1618.3414917127072,1279.653224043716,733.4298076923077,106.05446224256292,-2735.8166666666675,11.86999999999898,-7557.250000000007,4189.058763222757,-10.98075243857266,998.1694597565204,1.1655455574536626,0
2245.0,4235.460357142857,0.5300486395095018,10,1835.0,0.0,14637.77,18091.01,4,2502.729010989011,43.01,665,72.0,3,2,0.9908632951402608,2,0.8371,0,0,,0,3816,0,0,0,0,0,0,0,0,2,2,0,3834.56,0,0,0,2261.520220994475,1620.7487671232875,1397.4258620689654,258.9026506024097,-817.4966666666696,5183.109999999999,-3823.9000000000087,5196.681391622287,-39.224565501913816,2941.755444894441,0.9656337756155112,0
3994.9054404761905,8819.549761904762,0.4529602472148656,27,6520.0,1.0,200.0,0.0,12,1030.0438461538463,0.0,681,151.0,10,2,0.9321708403748656,1,0.0,0,0,,917,2936,0,0,0,0,0,0,0,0,0,3,0,1791.8325,0,0,0,1028.659944751381,1059.651698630137,994.093076923077,72.93734491315138,-1182.4433333333352,636.5999999999995,-2186.1600000000017,1578.151350293544,-6.373646129151747,1067.9780611865256,1.025152650912218,1
